month,day,hour,weekday,user_id,weather,temp_bin,label,category
1,10,8,4,1,snow,1,ダウンジャケット,outer
1,20,8,0,1,clouds,3,ダウンジャケット,outer
3,10,9,0,1,rain,7,トレンチコート,outer
3,15,10,5,1,clouds,8,トレンチコート,outer
4,5,9,5,1,clear,9,カーディガン,outer
4,15,8,1,1,clear,9,ジャケット,outer
7,13,14,6,1,clouds,11,カーディガン,outer
7,13,16,6,1,clouds,13,カーディガン,outer
7,13,16,6,1,clouds,13,カーディガン,outer
10,10,7,4,1,clouds,8,カーディガン,outer
10,20,9,0,1,clouds,7,ジャケット,outer
12,10,7,2,1,clouds,5,コート,outer
12,15,6,0,1,rain,4,コート,outer
1,10,8,4,1,clouds,2,ブーツ,shoes
5,1,9,3,1,clouds,11,スニーカー,shoes
5,25,9,6,1,clouds,12,スリッポン,shoes
6,5,9,3,1,rain,11,レインブーツ,shoes
6,10,9,1,1,clear,13,スリッポン,shoes
7,1,10,1,1,clear,16,サンダル,shoes
7,10,9,3,1,clear,15,スニーカー,shoes
7,13,14,6,1,clear,16,サンダル,shoes
7,13,14,6,1,clouds,13,スニーカー,shoes
7,13,14,6,1,clouds,11,ローファー,shoes
7,13,14,6,1,rain,6,ブーツ,shoes
7,13,16,6,1,clouds,13,スニーカー,shoes
7,13,16,6,1,clouds,13,スニーカー,shoes
8,1,10,4,1,clear,16,サンダル,shoes
10,1,8,2,1,rain,10,レインブーツ,shoes
12,15,8,0,1,snow,1,ブーツ,shoes
3,25,11,1,1,clouds,10,ネックレス,accessory
4,5,11,5,1,clear,10,ネックレス,accessory
4,6,12,6,1,clouds,11,ブレスレット,accessory
4,10,12,3,1,rain,11,ブレスレット,accessory
5,1,8,3,1,clouds,10,バックパック,accessory
5,2,8,4,1,clouds,10,ショルダーバッグ,accessory
5,20,8,1,1,clear,9,バックパック,accessory
6,10,9,1,1,clear,14,帽子,accessory
6,18,9,2,1,clouds,12,ショルダーバッグ,accessory
7,1,10,1,1,clear,16,日傘,accessory
7,5,9,5,1,clear,15,サングラス,accessory
7,10,10,3,1,clear,14,帽子,accessory
7,13,14,6,1,clear,16,サングラス,accessory
7,13,14,6,1,clouds,13,帽子,accessory
7,15,10,1,1,clear,15,日傘,accessory
7,15,13,1,1,clear,15,日傘,accessory
7,17,2,3,1,clear,16,帽子,accessory
7,17,2,3,1,clear,16,日傘,accessory
7,17,2,3,1,clear,16,サングラス,accessory
7,17,2,3,1,rain,11,帽子,accessory
7,17,2,3,1,rain,11,日傘,accessory
7,17,2,3,1,clear,10,ネックレス,accessory
7,17,2,3,1,clear,10,ブレスレット,accessory
7,17,2,3,1,clear,10,バックパック,accessory
7,17,2,3,1,clear,10,ショルダーバッグ,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,帽子,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,日傘,accessory
7,17,2,3,1,clear,11,サングラス,accessory
7,17,2,3,1,clear,11,サングラス,accessory
7,17,2,3,1,clear,11,サングラス,accessory
7,17,2,3,1,clear,11,サングラス,accessory
7,17,2,3,1,clear,11,サングラス,accessory
7,17,2,3,1,clear,11,サングラス,accessory
7,17,2,3,1,clear,11,サングラス,accessory
7,17,2,3,1,clear,11,サングラス,accessory
7,17,2,3,1,clear,11,サングラス,accessory
7,17,2,3,1,clear,11,サングラス,accessory
7,17,2,3,1,clear,11,ネックレス,accessory
7,17,2,3,1,clear,11,ネックレス,accessory
7,17,2,3,1,clear,11,ネックレス,accessory
7,17,2,3,1,clear,11,ネックレス,accessory
7,17,2,3,1,clear,11,ネックレス,accessory
7,17,2,3,1,clear,11,ネックレス,accessory
7,17,2,3,1,clear,11,ネックレス,accessory
7,17,2,3,1,clear,11,ネックレス,accessory
7,17,2,3,1,clear,11,ネックレス,accessory
7,17,2,3,1,clear,11,ネックレス,accessory
7,17,2,3,1,clear,11,ブレスレット,accessory
7,17,2,3,1,clear,11,ブレスレット,accessory
7,17,2,3,1,clear,11,ブレスレット,accessory
7,17,2,3,1,clear,11,ブレスレット,accessory
7,17,2,3,1,clear,11,ブレスレット,accessory
7,17,2,3,1,clear,11,ブレスレット,accessory
7,17,2,3,1,clear,11,ブレスレット,accessory
7,17,2,3,1,clear,11,ブレスレット,accessory
7,17,2,3,1,clear,11,ブレスレット,accessory
7,17,2,3,1,clear,11,ブレスレット,accessory
7,17,2,3,1,clear,11,バックパック,accessory
7,17,2,3,1,clear,11,バックパック,accessory
7,17,2,3,1,clear,11,バックパック,accessory
7,17,2,3,1,clear,11,バックパック,accessory
7,17,2,3,1,clear,11,バックパック,accessory
7,17,2,3,1,clear,11,バックパック,accessory
7,17,2,3,1,clear,11,バックパック,accessory
7,17,2,3,1,clear,11,バックパック,accessory
7,17,2,3,1,clear,11,バックパック,accessory
7,17,2,3,1,clear,11,バックパック,accessory
7,17,2,3,1,clear,11,ショルダーバッグ,accessory
7,17,2,3,1,clear,11,ショルダーバッグ,accessory
7,17,2,3,1,clear,11,ショルダーバッグ,accessory
7,17,2,3,1,clear,11,ショルダーバッグ,accessory
7,17,2,3,1,clear,11,ショルダーバッグ,accessory
7,17,2,3,1,clear,11,ショルダーバッグ,accessory
7,17,2,3,1,clear,11,ショルダーバッグ,accessory
7,17,2,3,1,clear,11,ショルダーバッグ,accessory
7,17,2,3,1,clear,11,ショルダーバッグ,accessory
7,17,2,3,1,clear,11,ショルダーバッグ,accessory
7,17,3,3,1,clear,14,帽子,accessory
7,17,3,3,1,clouds,15,帽子,accessory
7,17,3,3,1,clear,16,帽子,accessory
7,17,3,3,1,clear,15,日傘,accessory
7,17,3,3,1,clouds,16,日傘,accessory
7,17,3,3,1,clear,17,日傘,accessory
7,17,3,3,1,clear,14,サングラス,accessory
7,17,3,3,1,clouds,15,サングラス,accessory
7,17,3,3,1,clear,17,サングラス,accessory
7,18,8,4,1,clear,15,帽子,accessory
7,18,9,4,1,clear,15,日傘,accessory
7,18,10,4,1,clear,14,サングラス,accessory
7,18,11,4,1,clear,15,ブレスレット,accessory
7,18,12,4,1,clear,14,ネックレス,accessory
7,18,13,4,1,clear,15,ショルダーバッグ,accessory
7,18,14,4,1,clear,15,バックパック,accessory
7,19,8,5,1,clouds,15,帽子,accessory
7,19,9,5,1,clouds,16,日傘,accessory
7,19,10,5,1,clouds,15,サングラス,accessory
7,19,11,5,1,clouds,16,ブレスレット,accessory
7,19,12,5,1,clouds,15,ネックレス,accessory
7,19,13,5,1,clouds,15,ショルダーバッグ,accessory
7,19,14,5,1,clouds,16,バックパック,accessory
7,20,8,6,1,rain,16,帽子,accessory
7,20,9,6,1,rain,16,日傘,accessory
7,20,10,6,1,rain,15,サングラス,accessory
7,20,10,6,1,clear,15,帽子,accessory
7,20,11,6,1,rain,15,ブレスレット,accessory
7,20,12,6,1,clear,16,サングラス,accessory
7,20,12,6,1,rain,16,ネックレス,accessory
7,20,13,6,1,rain,16,ショルダーバッグ,accessory
7,20,14,6,1,rain,17,バックパック,accessory
7,21,8,0,1,clear,16,帽子,accessory
7,21,10,0,1,clear,15,日傘,accessory
7,21,11,0,1,clear,16,日傘,accessory
7,22,9,1,1,clear,16,日傘,accessory
7,22,12,1,1,clear,16,サングラス,accessory
7,23,10,2,1,clear,17,サングラス,accessory
7,24,10,3,1,clouds,15,サングラス,accessory
7,25,11,4,1,clear,15,帽子,accessory
8,1,10,4,1,clear,16,帽子,accessory
8,1,10,4,1,clear,17,日傘,accessory
8,1,13,4,1,clear,16,サングラス,accessory
8,1,14,4,1,clear,15,サングラス,accessory
8,2,11,5,1,clear,16,日傘,accessory
8,3,11,6,1,clear,16,日傘,accessory
8,3,12,6,1,clear,17,サングラス,accessory
8,4,13,0,1,clear,18,サングラス,accessory
8,5,9,1,1,clear,16,帽子,accessory
8,6,10,2,1,clear,16,帽子,accessory
8,10,10,6,1,clear,16,サングラス,accessory
4,5,9,5,1,clouds,10,チノパン,bottoms
4,10,9,3,1,clouds,10,ジーンズ,bottoms
5,5,9,0,1,clear,12,レギンス,bottoms
5,15,9,3,1,clouds,11,スカート,bottoms
6,1,8,6,1,clear,13,スカート,bottoms
6,10,9,1,1,clouds,11,レギンス,bottoms
7,10,9,3,1,clear,14,ジーンズ,bottoms
7,13,14,6,1,clear,16,ショートパンツ,bottoms
7,13,14,6,1,clouds,13,チノパン,bottoms
7,13,14,6,1,clouds,11,ジーンズ,bottoms
7,13,14,6,1,rain,6,スウェットパンツ,bottoms
7,13,14,6,1,snow,2,レギンス,bottoms
7,13,15,6,1,clear,9,ジーンズ,bottoms
7,13,15,6,1,clear,10,チノパン,bottoms
7,13,15,6,1,clear,15,ショートパンツ,bottoms
7,13,15,6,1,clear,14,スカート,bottoms
7,13,15,6,1,clouds,11,ロングスカート,bottoms
7,13,15,6,1,rain,9,レギンス,bottoms
7,13,15,6,1,clouds,10,スウェットパンツ,bottoms
7,13,16,6,1,clouds,13,スウェットパンツ,bottoms
7,13,16,6,1,clouds,13,ジーンズ,bottoms
7,20,9,6,1,clear,15,ショートパンツ,bottoms
8,1,10,4,1,clear,16,ショートパンツ,bottoms
11,15,8,5,1,clouds,6,スウェットパンツ,bottoms
12,1,7,0,1,rain,5,スウェットパンツ,bottoms
4,15,9,1,1,clouds,10,パーカー,tops
4,20,7,6,1,clear,10,スウェット,tops
5,10,8,5,1,clear,12,タンクトップ,tops
6,15,8,6,1,clear,13,ポロシャツ,tops
6,20,9,4,1,clouds,12,ポロシャツ,tops
7,1,9,1,1,clear,14,タンクトップ,tops
7,10,9,3,1,clear,15,Tシャツ,tops
7,13,14,6,1,clear,16,タンクトップ,tops
7,13,14,6,1,clouds,13,ポロシャツ,tops
7,13,14,6,1,clouds,11,長袖シャツ,tops
7,13,15,6,1,clear,15,Tシャツ,tops
7,13,15,6,1,clouds,11,長袖シャツ,tops
7,13,15,6,1,clear,12,ポロシャツ,tops
7,13,15,6,1,clear,16,タンクトップ,tops
7,13,15,6,1,clear,16,キャミソール,tops
7,13,15,6,1,clouds,12,ブラウス,tops
7,13,15,6,1,clouds,8,スウェット,tops
7,13,15,6,1,clear,14,カットソー,tops
7,13,15,6,1,clouds,7,パーカー,tops
7,13,15,6,1,clear,13,チュニック,tops
7,13,15,6,1,clear,14,パーカー,tops
7,13,15,6,1,clouds,12,ブラウス,tops
7,13,16,6,1,clouds,13,ブラウス,tops
7,13,16,6,1,clouds,13,ポロシャツ,tops
7,14,0,0,1,clear,13,カットソー,tops
7,15,5,1,1,clear,17,Tシャツ,tops
7,15,5,1,1,clear,16,Tシャツ,tops
7,15,5,1,1,clear,16,Tシャツ,tops
7,15,5,1,1,clear,15,Tシャツ,tops
7,15,5,1,1,clear,15,Tシャツ,tops
7,15,5,1,1,clear,15,Tシャツ,tops
7,15,5,1,1,clear,15,Tシャツ,tops
7,15,5,1,1,clear,16,Tシャツ,tops
7,15,5,1,1,clear,16,Tシャツ,tops
7,15,5,1,1,clear,17,Tシャツ,tops
7,15,5,1,1,clouds,11,長袖シャツ,tops
7,15,5,1,1,clear,10,長袖シャツ,tops
7,15,5,1,1,clouds,10,長袖シャツ,tops
7,15,5,1,1,clear,9,長袖シャツ,tops
7,15,5,1,1,clouds,9,長袖シャツ,tops
7,15,5,1,1,clear,9,長袖シャツ,tops
7,15,5,1,1,clouds,9,長袖シャツ,tops
7,15,5,1,1,clear,10,長袖シャツ,tops
7,15,5,1,1,clouds,10,長袖シャツ,tops
7,15,5,1,1,clear,11,長袖シャツ,tops
7,15,5,1,1,clear,15,ポロシャツ,tops
7,15,5,1,1,clear,14,ポロシャツ,tops
7,15,5,1,1,clear,13,ポロシャツ,tops
7,15,5,1,1,clear,13,ポロシャツ,tops
7,15,5,1,1,clear,12,ポロシャツ,tops
7,15,5,1,1,clear,12,ポロシャツ,tops
7,15,5,1,1,clear,13,ポロシャツ,tops
7,15,5,1,1,clear,13,ポロシャツ,tops
7,15,5,1,1,clear,14,ポロシャツ,tops
7,15,5,1,1,clear,15,ポロシャツ,tops
7,15,5,1,1,clear,16,タンクトップ,tops
7,15,5,1,1,rain,15,タンクトップ,tops
7,15,5,1,1,clear,15,タンクトップ,tops
7,15,5,1,1,rain,14,タンクトップ,tops
7,15,5,1,1,clear,14,タンクトップ,tops
7,15,5,1,1,rain,14,タンクトップ,tops
7,15,5,1,1,clear,14,タンクトップ,tops
7,15,5,1,1,rain,15,タンクトップ,tops
7,15,5,1,1,clear,15,タンクトップ,tops
7,15,5,1,1,rain,16,タンクトップ,tops
7,15,5,1,1,clear,16,キャミソール,tops
7,15,5,1,1,clouds,16,キャミソール,tops
7,15,5,1,1,clear,15,キャミソール,tops
7,15,5,1,1,clouds,15,キャミソール,tops
7,15,5,1,1,clear,14,キャミソール,tops
7,15,5,1,1,clouds,14,キャミソール,tops
7,15,5,1,1,clear,15,キャミソール,tops
7,15,5,1,1,clouds,15,キャミソール,tops
7,15,5,1,1,clear,16,キャミソール,tops
7,15,5,1,1,clouds,16,キャミソール,tops
7,15,5,1,1,clear,12,ブラウス,tops
7,15,5,1,1,clouds,12,ブラウス,tops
7,15,5,1,1,clear,11,ブラウス,tops
7,15,5,1,1,clouds,11,ブラウス,tops
7,15,5,1,1,clear,10,ブラウス,tops
7,15,5,1,1,clouds,10,ブラウス,tops
7,15,5,1,1,clear,11,ブラウス,tops
7,15,5,1,1,clouds,11,ブラウス,tops
7,15,5,1,1,clear,12,ブラウス,tops
7,15,5,1,1,clouds,12,ブラウス,tops
7,15,5,1,1,clear,10,スウェット,tops
7,15,5,1,1,clouds,9,スウェット,tops
7,15,5,1,1,clear,9,スウェット,tops
7,15,5,1,1,clouds,8,スウェット,tops
7,15,5,1,1,clear,8,スウェット,tops
7,15,5,1,1,clouds,8,スウェット,tops
7,15,5,1,1,clear,8,スウェット,tops
7,15,5,1,1,clouds,9,スウェット,tops
7,15,5,1,1,clear,9,スウェット,tops
7,15,5,1,1,clouds,10,スウェット,tops
7,15,5,1,1,clear,12,カットソー,tops
7,15,5,1,1,clouds,11,カットソー,tops
7,15,5,1,1,clear,11,カットソー,tops
7,15,5,1,1,clouds,10,カットソー,tops
7,15,5,1,1,clear,10,カットソー,tops
7,15,5,1,1,clouds,10,カットソー,tops
7,15,5,1,1,clear,10,カットソー,tops
7,15,5,1,1,clouds,11,カットソー,tops
7,15,5,1,1,clear,11,カットソー,tops
7,15,5,1,1,clouds,12,カットソー,tops
7,15,5,1,1,clear,15,パーカー,tops
7,15,5,1,1,clouds,15,パーカー,tops
7,15,5,1,1,clear,14,パーカー,tops
7,15,5,1,1,clouds,14,パーカー,tops
7,15,5,1,1,clear,13,パーカー,tops
7,15,5,1,1,clouds,13,パーカー,tops
7,15,5,1,1,clear,14,パーカー,tops
7,15,5,1,1,clouds,14,パーカー,tops
7,15,5,1,1,clear,15,パーカー,tops
7,15,5,1,1,clouds,15,パーカー,tops
7,15,5,1,1,clear,13,チュニック,tops
7,15,5,1,1,clouds,12,チュニック,tops
7,15,5,1,1,clear,12,チュニック,tops
7,15,5,1,1,clouds,11,チュニック,tops
7,15,5,1,1,clear,11,チュニック,tops
7,15,5,1,1,clouds,11,チュニック,tops
7,15,5,1,1,clear,11,チュニック,tops
7,15,5,1,1,clouds,12,チュニック,tops
7,15,5,1,1,clear,12,チュニック,tops
7,15,5,1,1,clouds,13,チュニック,tops
7,15,5,1,1,clear,16,Tシャツ,tops
7,15,5,1,1,clear,17,Tシャツ,tops
7,15,5,1,1,clear,15,Tシャツ,tops
7,15,5,1,1,clear,17,Tシャツ,tops
7,15,5,1,1,clear,18,Tシャツ,tops
7,15,5,1,1,clear,18,Tシャツ,tops
7,15,5,1,1,clear,16,Tシャツ,tops
7,15,5,1,1,clear,17,Tシャツ,tops
7,15,5,1,1,clear,17,Tシャツ,tops
7,15,5,1,1,clear,18,Tシャツ,tops
7,15,5,1,1,clouds,12,長袖シャツ,tops
7,15,5,1,1,clear,10,長袖シャツ,tops
7,15,5,1,1,clouds,12,長袖シャツ,tops
7,15,5,1,1,clear,8,長袖シャツ,tops
7,15,5,1,1,clouds,9,長袖シャツ,tops
7,15,5,1,1,clear,9,長袖シャツ,tops
7,15,5,1,1,clouds,9,長袖シャツ,tops
7,15,5,1,1,clear,11,長袖シャツ,tops
7,15,5,1,1,clouds,12,長袖シャツ,tops
7,15,5,1,1,clear,12,長袖シャツ,tops
7,15,5,1,1,clear,16,ポロシャツ,tops
7,15,5,1,1,clear,14,ポロシャツ,tops
7,15,5,1,1,clear,14,ポロシャツ,tops
7,15,5,1,1,clear,12,ポロシャツ,tops
7,15,5,1,1,clear,11,ポロシャツ,tops
7,15,5,1,1,clear,12,ポロシャツ,tops
7,15,5,1,1,clear,12,ポロシャツ,tops
7,15,5,1,1,clear,12,ポロシャツ,tops
7,15,5,1,1,clear,14,ポロシャツ,tops
7,15,5,1,1,clear,15,ポロシャツ,tops
7,15,5,1,1,clear,15,タンクトップ,tops
7,15,5,1,1,rain,15,タンクトップ,tops
7,15,5,1,1,clear,16,タンクトップ,tops
7,15,5,1,1,rain,14,タンクトップ,tops
7,15,5,1,1,clear,14,タンクトップ,tops
7,15,5,1,1,rain,13,タンクトップ,tops
7,15,5,1,1,clear,13,タンクトップ,tops
7,15,5,1,1,rain,16,タンクトップ,tops
7,15,5,1,1,clear,17,タンクトップ,tops
7,15,5,1,1,rain,16,タンクトップ,tops
7,15,5,1,1,clear,17,キャミソール,tops
7,15,5,1,1,clouds,15,キャミソール,tops
7,15,5,1,1,clear,16,キャミソール,tops
7,15,5,1,1,clouds,15,キャミソール,tops
7,15,5,1,1,clear,14,キャミソール,tops
7,15,5,1,1,clouds,14,キャミソール,tops
7,15,5,1,1,clear,16,キャミソール,tops
7,15,5,1,1,clouds,15,キャミソール,tops
7,15,5,1,1,clear,17,キャミソール,tops
7,15,5,1,1,clouds,16,キャミソール,tops
7,15,5,1,1,clear,13,ブラウス,tops
7,15,5,1,1,clouds,12,ブラウス,tops
7,15,5,1,1,clear,11,ブラウス,tops
7,15,5,1,1,clouds,11,ブラウス,tops
7,15,5,1,1,clear,12,ブラウス,tops
7,15,5,1,1,clouds,11,ブラウス,tops
7,15,5,1,1,clear,12,ブラウス,tops
7,15,5,1,1,clouds,12,ブラウス,tops
7,15,5,1,1,clear,11,ブラウス,tops
7,15,5,1,1,clouds,11,ブラウス,tops
7,15,5,1,1,clear,10,スウェット,tops
7,15,5,1,1,clouds,9,スウェット,tops
7,15,5,1,1,clear,9,スウェット,tops
7,15,5,1,1,clouds,8,スウェット,tops
7,15,5,1,1,clear,7,スウェット,tops
7,15,5,1,1,clouds,7,スウェット,tops
7,15,5,1,1,clear,8,スウェット,tops
7,15,5,1,1,clouds,8,スウェット,tops
7,15,5,1,1,clear,9,スウェット,tops
7,15,5,1,1,clouds,10,スウェット,tops
7,15,5,1,1,clear,12,カットソー,tops
7,15,5,1,1,clouds,11,カットソー,tops
7,15,5,1,1,clear,11,カットソー,tops
7,15,5,1,1,clouds,11,カットソー,tops
7,15,5,1,1,clear,10,カットソー,tops
7,15,5,1,1,clouds,10,カットソー,tops
7,15,5,1,1,clear,10,カットソー,tops
7,15,5,1,1,clouds,11,カットソー,tops
7,15,5,1,1,clear,11,カットソー,tops
7,15,5,1,1,clouds,12,カットソー,tops
7,15,5,1,1,clear,15,パーカー,tops
7,15,5,1,1,clouds,15,パーカー,tops
7,15,5,1,1,clear,14,パーカー,tops
7,15,5,1,1,clouds,13,パーカー,tops
7,15,5,1,1,clear,13,パーカー,tops
7,15,5,1,1,clouds,13,パーカー,tops
7,15,5,1,1,clear,13,パーカー,tops
7,15,5,1,1,clouds,14,パーカー,tops
7,15,5,1,1,clear,15,パーカー,tops
7,15,5,1,1,clouds,17,パーカー,tops
7,15,5,1,1,clear,12,チュニック,tops
7,15,5,1,1,clouds,12,チュニック,tops
7,15,5,1,1,clear,11,チュニック,tops
7,15,5,1,1,clouds,11,チュニック,tops
7,15,5,1,1,clear,10,チュニック,tops
7,15,5,1,1,clouds,11,チュニック,tops
7,15,5,1,1,clear,11,チュニック,tops
7,15,5,1,1,clouds,12,チュニック,tops
7,15,5,1,1,clear,12,チュニック,tops
7,15,5,1,1,clouds,12,チュニック,tops
7,15,5,1,1,rain,16,Tシャツ,tops
7,15,5,1,1,clear,14,Tシャツ,tops
7,15,5,1,1,rain,15,Tシャツ,tops
7,15,5,1,1,rain,17,Tシャツ,tops
7,15,5,1,1,rain,15,Tシャツ,tops
7,15,5,1,1,clouds,5,ポロシャツ,tops
7,15,5,1,1,rain,8,ポロシャツ,tops
7,15,5,1,1,clear,5,ポロシャツ,tops
7,15,6,1,1,clear,15,Tシャツ,tops
7,15,6,1,1,clouds,14,Tシャツ,tops
7,15,6,1,1,clear,17,タンクトップ,tops
7,15,6,1,1,clouds,16,タンクトップ,tops
7,15,6,1,1,clear,17,キャミソール,tops
7,15,6,1,1,clear,16,キャミソール,tops
8,1,10,4,1,clouds,14,Tシャツ,tops
10,1,8,2,1,clouds,9,スウェット,tops
10,5,9,6,1,clear,9,パーカー,tops
